2017-18 Rank,Rank in the most recent five years,Trend,School Name,City,2017-18 Rating,2017-18 Rating by Percent,Rating in the most recent five years,Waterloo Adjustment,,
133/738,148/625,NO CHANGE,Cardinal Carter,Aurora,7.5,75.00%,7.2,16.3,64.37%,69.68%
133/738,163/625,NO CHANGE,Jean Vanier,Richmond Hill,7.5,75.00%,7.1,16.3,64.37%,69.68%
133/738,163/625,NO CHANGE,Loyola,Mississauga,7.5,75.00%,7.1,16.3,64.37%,69.68%
133/738,202/625,NO CHANGE,Owen Sound,Owen Sound,7.5,75.00%,6.9,16.3,64.37%,69.68%
133/738,229/625,NO CHANGE,Father Leo J Austin,Whitby,7.5,75.00%,6.7,16.3,64.37%,69.68%
133/738,246/625,NO CHANGE,Immaculata,Ottawa,7.5,75.00%,6.6,16.3,64.37%,69.68%
133/738,284/625,UPTREND,Laura Secord,St Catharines,7.5,75.00%,6.4,16.3,64.37%,69.68%
133/738,n/a,NO CHANGE,Glenforest,Mississauga,7.5,75.00%,n/a,16.3,64.37%,69.68%
133/738,n/a,NO CHANGE,Maxwell Heights,Oshawa,7.5,75.00%,n/a,16.3,64.37%,69.68%
133/738,n/a,NO CHANGE,Meadowvale,Mississauga,7.5,75.00%,n/a,16.3,64.37%,69.68%
148/738,75/625,DOWNTREND,Notre Dame,Toronto,7.4,74.00%,7.7,16.3,64.37%,69.18%
148/738,75/625,NO CHANGE,Thornlea,Thornhill,7.4,74.00%,7.7,16.3,64.37%,69.18%
148/738,90/625,NO CHANGE,Saint Michael,Niagara Falls,7.4,74.00%,7.6,16.3,64.37%,69.18%
148/738,148/625,NO CHANGE,Courtice,Courtice,7.4,74.00%,7.2,16.3,64.37%,69.18%
148/738,163/625,NO CHANGE,St Edmund Campion,Brampton,7.4,74.00%,7.1,16.3,64.37%,69.18%
148/738,184/625,UPTREND,Cardinal Carter,Leamington,7.4,74.00%,7,16.3,64.37%,69.18%
148/738,184/625,NO CHANGE,L'Héritage,Cornwall,7.4,74.00%,7,16.3,64.37%,69.18%
148/738,184/625,NO CHANGE,St Francis,St Catharines,7.4,74.00%,7,16.3,64.37%,69.18%
148/738,246/625,UPTREND,Francis Libermann,Toronto,7.4,74.00%,6.6,16.3,64.37%,69.18%
